name,position,stars,metrics,composite,recruiting_class
Bryce Brown, RB ,5, 6-0 / 215 ,0.9992,2009
"Nu'keese Richardson", WR ,4, 5-9 / 160 ,0.9707,2009
Janzen Jackson, S ,4, 6-0 / 187 ,0.9697,2009
Darren Myles, S ,4, 6-2 / 180 ,0.9633,2009
David Oku, RB ,4, 5-10 / 195 ,0.9628,2009
Jerod Askew, ILB ,4, 6-0 / 230 ,0.9587,2009
Marlon Walls, DT ,4, 6-3 / 278 ,0.9222,2009
Eric Gordon, CB ,4, 5-10 / 186 ,0.9012,2009
Marsalis Teague, CB ,4, 5-10 / 178 ,0.9005,2009
JerQuari Schofield, OG ,3, 6-6 / 298 ,0.8875,2009
Mike Edwards, CB ,3, 5-10 / 170 ,0.8873,2009
Arthur Jeffery, DT ,3, 6-4 / 285 ,0.8821,2009
Toney Williams, RB ,3, 6-0 / 220 ,0.8803,2009
Nyshier Oliver, CB ,3, 5-10 / 177 ,0.8801,2009
Robert Nelson, OLB ,3, 5-11 / 205 ,0.8795,2009
Zach Rogers, WR ,3, 6-2 / 170 ,0.8795,2009
Greg King, OLB ,3, 6-2 / 235 ,0.8764,2009
Daniel Hood, DT ,3, 6-4 / 293 ,0.8733,2009
Nigel Mitchell-Thornton, OLB ,3, 6-1 / 235 ,0.8684,2009
Kevin Revis, OC ,3, 6-4 / 265 ,0.8622,2009
Rae Sykes, SDE ,3, 6-4 / 240 ,0.8444,2009
"Da'Rick Rogers", WR ,5, 6-3 / 215 ,0.9927,2010
"Ja'Wuan James", OT ,5, 6-7 / 315 ,0.9849,2010
Justin Hunter, WR ,4, 6-4 / 183 ,0.9829,2010
Corey Miller, WDE ,4, 6-3 / 255 ,0.9701,2010
Tyler Bray, PRO ,4, 6-6 / 210 ,0.9520,2010
Jacques Smith, WDE ,4, 6-2 / 248 ,0.9439,2010
James Stone, OG ,4, 6-4 / 295 ,0.9299,2010
Matt Milton, WR ,4, 6-6 / 200 ,0.9267,2010
Rajion Neal, RB ,4, 5-11 / 210 ,0.9225,2010
Eddrick Loften, S ,4, 6-0 / 200 ,0.9061,2010
